"i","entropy.s_am...1..","entropy.s_im...1..","entropy.s_lap...1..","mean.unlist.local_complexity.s_am..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_im..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_lap..span...10....na.rm...TRUE.","model"
16,0.410837838516928,0.144899617533107,0.851842564290789,28.3465274738387,27.7390970003723,28.9793852267783,"small.world"
17,0.378465427915172,0.132065356474883,0.790411760858612,28.2590313895773,27.6904039203594,28.8445699710108,"small.world"
18,0.391243563629256,0.137099478899818,0.815157031670294,28.3048812470831,27.7100629715452,28.9182051454579,"small.world"
19,0.426228656998145,0.151096970517114,0.88290067840472,28.4119121650213,27.7648010005774,29.0732884180426,"small.world"
20,0.391243563629256,0.137099478899818,0.812437501314986,28.2487613919795,27.7064087544321,28.834594342034,"small.world"
21,0.402179190202273,0.141440542541821,0.833729414696445,28.3019715433056,27.724471987009,28.912363779092,"small.world"
22,0.402179190202273,0.141440542541821,0.837783306001768,28.3582589867716,27.7277789159906,28.9899020282859,"small.world"
23,0.383464132308798,0.134029796168036,0.800367295329546,28.2784425373118,27.6991074417106,28.8788985469726,"small.world"
24,0.399382082424597,0.140327270990593,0.82798093303791,28.2889760063648,27.7199486017892,28.8963714390032,"small.world"
25,0.429461972047106,0.152406998923868,0.883882980496542,28.3939306652698,27.7679573183311,29.0484074868099,"small.world"
26,0.383464132308798,0.134029796168036,0.797484381320458,28.2462251445394,27.6949904035927,28.8290671921029,"small.world"
27,0.407905980138976,0.143726169939382,0.846872766825377,28.3514525789218,27.7353792906249,28.9825419622675,"small.world"
28,0.38094658570539,0.133039648610699,0.793272925336551,28.2700023801327,27.6948362878378,28.8622974748889,"small.world"
29,0.402179190202273,0.141440542541821,0.835533346575339,28.3326250015234,27.7286570710402,28.9611096669041,"small.world"
30,0.429461972047106,0.152406998923868,0.88610302312767,28.4121002184479,27.7699785475694,29.0781560948452,"small.world"
31,0.429461972047106,0.152406998923868,0.886755826137463,28.416725504069,27.7707908772941,29.0826737192237,"small.world"
32,0.413816850303634,0.146094250120136,0.861490944702089,28.4099479311573,27.7497124762312,29.0699656849194,"small.world"
33,0.407905980138976,0.143726169939382,0.847283622950053,28.3382123297525,27.734876414789,28.9630698484013,"small.world"
34,0.386018900569893,0.135036202802128,0.803037658794027,28.2498787509748,27.6995905862592,28.8368253654108,"small.world"
35,0.383464132308798,0.134029796168036,0.798523641845015,28.2750258546144,27.6981595507894,28.8730261270245,"small.world"
36,0.386018900569893,0.135036202802128,0.806144442824596,28.3020533500204,27.7038921679344,28.9156507073924,"small.world"
37,0.391243563629256,0.137099478899818,0.813041935960148,28.2842833272817,27.7086388047726,28.8849228234604,"small.world"
38,0.386018900569893,0.135036202802128,0.803572929623207,28.2593014385531,27.7007029158034,28.8504469111047,"small.world"
39,0.416844196343165,0.147310666930454,0.861735499141035,28.3559081805491,27.7483475332589,28.9911980619007,"small.world"
40,0.410837838516928,0.144899617533107,0.852439147854923,28.3753128549387,27.7416008215859,29.0221868758283,"small.world"
41,0.432750158788754,0.153742180328762,0.89713084385422,28.5172973934206,27.7830155220131,29.2342954937871,"small.world"
42,0.419921097375718,0.148549490430348,0.866090174156613,28.3427646121719,27.7517700749304,28.9756615516075,"small.world"
43,0.405020132624242,0.142573330259899,0.840523789651488,28.3196404020759,27.7295196718757,28.9427301440144,"small.world"
44,0.426228656998145,0.151096970517114,0.882349450338027,28.4189517380647,27.7661664609693,29.0895818991672,"small.world"
45,0.407905980138976,0.143726169939382,0.844133032626477,28.3139967153361,27.7329225145645,28.9326451605301,"small.world"
46,0.432750158788754,0.153742180328762,0.89321367848363,28.4163697254446,27.7756434016621,29.0779829382015,"small.world"
47,0.429461972047106,0.152406998923868,0.887151842327091,28.4291808514355,27.7721833469489,29.1045922100015,"small.world"
48,0.405020132624242,0.142573330259899,0.8428769933768,28.3420812900214,27.7315622520914,28.9740041119412,"small.world"
49,0.410837838516928,0.144899617533107,0.854023600223578,28.3702282455452,27.7424110521821,29.0166969426433,"small.world"
50,0.393915257363412,0.138157228562526,0.819559873981254,28.2878905243821,27.7147058031231,28.8967749961417,"small.world"
1,0.144282349450809,0.22742467664385,0.364114794515322,27.3584754586234,27.8612345689786,27.876289639495,"preferential.attachment"
2,0.145465507757807,0.229319069126917,0.367052818560696,27.3775712317682,27.8704431836598,27.9042250686034,"preferential.attachment"
3,0.134509067192663,0.211792583809695,0.339807609931894,27.7614187977478,27.9363017140269,28.3568977573174,"preferential.attachment"
4,0.144282349450809,0.22742467664385,0.364114794515322,27.7491362126724,27.9803310506021,28.3780812929021,"preferential.attachment"
5,0.144282349450809,0.22742467664385,0.364114794515322,27.8222577803917,27.9984589238329,28.4684671249519,"preferential.attachment"
6,0.131563780582474,0.207087368963173,0.332469244336104,27.3281964129547,27.78290715413,27.7869571255222,"preferential.attachment"
7,0.150418848887936,0.237254615230824,0.37934196410695,27.7743469381006,28.0195839002547,28.4349808966781,"preferential.attachment"
8,0.141978057601336,0.223736417360105,0.358389881393877,27.3623091757345,27.835471854544,27.8683847337771,"preferential.attachment"
9,0.151715589723511,0.239333294703288,0.38255619367852,27.3601543170402,27.894912835165,27.9049440997763,"preferential.attachment"
10,0.139752800932149,0.220176188461791,0.352857731754209,27.8400189361849,27.9757975654573,28.4695582895016,"preferential.attachment"
11,0.150418848887936,0.237254615230824,0.37934196410695,27.731075440496,28.0084166245954,28.3819921670564,"preferential.attachment"
12,0.151715589723511,0.239333294703288,0.38255619367852,27.7192908412147,28.0064262303846,28.3674808386073,"preferential.attachment"
13,0.146670115798414,0.231248240359946,0.370043068691603,27.4792091184216,27.9028119807496,28.0426086246138,"preferential.attachment"
14,0.147896782660076,0.233213189357623,0.373086995917,27.7530077263425,27.9837100663559,28.3921807531401,"preferential.attachment"
15,0.134509067192663,0.211792583809695,0.339807609931894,27.7574512086879,27.9278594422263,28.3422935830814,"preferential.attachment"
16,0.130613048124418,0.205569099479908,0.330099157913303,27.681591693695,27.8912460513158,28.2358827637476,"preferential.attachment"
17,0.136554162510649,0.215061258930215,0.34489954858781,27.3947281932091,27.8292782382145,27.8915437083191,"preferential.attachment"
18,0.151715589723511,0.239333294703288,0.38255619367852,27.5731666669242,27.9529400735175,28.1694643712793,"preferential.attachment"
19,0.147896782660076,0.233213189357623,0.373086995917,27.8082825926615,28.0083585394531,28.4634781951022,"preferential.attachment"
20,0.131563780582474,0.207087368963173,0.332469244336104,27.3474223824692,27.7956573909529,27.8091256436667,"preferential.attachment"
21,0.144282349450809,0.22742467664385,0.364114794515322,27.7657463346012,27.977839958747,28.3966745836163,"preferential.attachment"
22,0.145465507757807,0.229319069126917,0.367052818560696,27.3876490873499,27.8684960076392,27.9162077306201,"preferential.attachment"
23,0.151715589723511,0.239333294703288,0.38255619367852,27.900792527579,28.0718927052336,28.6174717613351,"preferential.attachment"
24,0.143120054382327,0.225564101345412,0.361227598173259,27.7246022701915,27.9635586060708,28.3384248851932,"preferential.attachment"
25,0.133511400672063,0.21019847531074,0.337322533768224,27.6140129953532,27.8837220330567,28.1561754645676,"preferential.attachment"
26,0.134509067192663,0.211792583809695,0.339807609931894,27.4353898687395,27.8267429307986,27.9298888749316,"preferential.attachment"
27,0.137602454427706,0.216737236139796,0.347508482546318,27.5539521939576,27.8888666430268,28.0923059323721,"preferential.attachment"
28,0.131563780582474,0.207087368963173,0.332469244336104,27.4734236134651,27.8285622045923,27.966125827942,"preferential.attachment"
