"p","eA","eL","ed","eD","kA","kL","kd","kD"
0.84,0.00379376092110132,0.00501033106240453,0.454593362170311,0.102341396496154,27.2830301618775,27.2904911753657,27.9906847206781,27.5133753323303
0.85,0.00379089334175446,0.00500144081670587,0.454571969073025,0.102342562673143,27.2829617991254,27.2903843958756,27.9906553048506,27.5125123421729
0.86,0.00378741202538673,0.00498904493725771,0.454566396980335,0.102160304015235,27.2828947565979,27.2902835815184,27.9906649773568,27.5115656242075
0.87,0.0037857347047678,0.00498335658284341,0.454530217662543,0.102041433536083,27.2828374896762,27.2902002009833,27.9906277979504,27.5105888742435
0.88,0.00377888160784342,0.00496368786854417,0.454554221015739,0.101893583682366,27.2827887923689,27.2901375452935,27.9906158619885,27.5097961684464
0.89,0.00377817960910004,0.00496306179957869,0.454508646364947,0.101919602550736,27.2827407093522,27.2900758084003,27.9905751465561,27.5094205186125
0.9,0.00377238314116869,0.00494252033021793,0.45446435005879,0.101758877538373,27.2826696591378,27.2899676271554,27.9905790624418,27.5085140801641
0.91,0.00377418075573492,0.00494799721585953,0.454453275027945,0.101760390851864,27.2826553966316,27.2899494105676,27.9905900854246,27.5082916614554
0.92,0.00376752537032322,0.00492909266071605,0.45448539121805,0.101653367336297,27.2825924269467,27.2898561867182,27.9905742810928,27.5073313153071
0.93,0.00376117408987175,0.00491010173834043,0.454491526627322,0.101530138568354,27.2825038322114,27.2897160278031,27.9905763355981,27.5066035814294
0.94,0.00375901303570356,0.00490696801440611,0.454422588789222,0.101437096563475,27.2824790502687,27.2896959781119,27.9905426153458,27.5057659253647
0.95,0.00375731857612945,0.00490306887131871,0.454459421774646,0.101373263344241,27.2824344035445,27.2896296994121,27.9905601661904,27.5050469602038
0.96,0.00375150965194204,0.00488419231616983,0.45442940228023,0.101263595112214,27.2823982217319,27.2895640942443,27.9906000201157,27.5043376606135
0.97,0.00375132630358383,0.00488609798557651,0.45439248129473,0.101171504253488,27.2823510098547,27.2895255018649,27.9905532160253,27.5035238537693
0.98,0.00374267257362429,0.00485773710320457,0.454450892304402,0.101103468773175,27.2822619985214,27.2893482494012,27.9906023776237,27.5031063399037
0.99,0.00374051783737639,0.0048544518822176,0.454381455589665,0.100980550646833,27.2822340540151,27.2893375865069,27.9905538814076,27.5024138114715
1,0.0037408648894948,0.00485965965860569,0.454430725953631,0.100957695584116,27.2822018500256,27.2892987175714,27.9905755209642,27.5019053608424
